GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaddem,tn.esprit.spring.kaddem,KaddemApplication,5,3,0,0,2,1,1,1,1,1
kaddem,tn.esprit.spring.kaddem.controllers,DepartementRestController,24,6,0,0,6,1,5,1,5,1
kaddem,tn.esprit.spring.kaddem.controllers,EquipeRestController,28,6,0,0,8,1,6,1,6,1
kaddem,tn.esprit.spring.kaddem.controllers,UniversiteRestController,35,6,0,0,9,1,7,1,7,1
kaddem,tn.esprit.spring.kaddem.controllers,ContratRestController,47,6,0,0,11,1,9,1,9,1
kaddem,tn.esprit.spring.kaddem.controllers,EtudiantRestController,42,6,0,0,10,1,8,1,8,1
kaddem,tn.esprit.spring.kaddem.entities,Universite,36,3,0,0,16,2,8,1,8,1
kaddem,tn.esprit.spring.kaddem.entities,Niveau,0,34,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.entities,Contrat,104,3,0,0,37,2,17,1,17,1
kaddem,tn.esprit.spring.kaddem.entities,DetailEquipe,49,3,0,0,21,2,10,1,10,1
kaddem,tn.esprit.spring.kaddem.entities,Option,0,44,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.entities,Equipe,77,27,0,0,33,12,13,4,13,4
kaddem,tn.esprit.spring.kaddem.entities,Departement,42,3,0,0,19,2,9,1,9,1
kaddem,tn.esprit.spring.kaddem.entities,Etudiant,85,3,0,0,36,2,17,1,17,1
kaddem,tn.esprit.spring.kaddem.entities,Specialite,0,44,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.services,EquipeServiceImpl,146,48,27,1,34,11,19,7,5,7
kaddem,tn.esprit.spring.kaddem.services,ContratServiceImpl,248,7,26,0,53,2,22,2,9,2
kaddem,tn.esprit.spring.kaddem.services,UniversiteServiceImpl,86,3,6,0,19,2,10,1,7,1
kaddem,tn.esprit.spring.kaddem.services,EtudiantServiceImpl,119,7,10,0,28,2,13,2,8,2
kaddem,tn.esprit.spring.kaddem.services,DepartementServiceImpl,44,7,2,0,10,2,6,2,5,2
